00114;95041;00023.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00115;60540;00060.000;Btl 100St           ;BTL;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00116;55551;00037.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00117;49552;00079.000;Pck 2000St          ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00118;49552;00030.000;Pck 2000St          ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00119;67750;00045.000;Pck 1000St          ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00120;52749;00019.000;Pck 50St            ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00121;67664;00003.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00122;58249;00060.000;Pck 10 St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00123;52482;00040.000;Ktn 2000St          ;KTN;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00124;58248;00060.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00125;58248;00010.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00126;41094;00018.000;Pck 25St            ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00127;67659;00010.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00128;50058;00015.000;Pck 100 St          ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
