00115;55173;00024.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00116;58878;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00117;87196;00008.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00118;87198;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00119;71115;00006.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00120;71115;00006.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00121;77255;00020.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00122;83317;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00123;83317;00006.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00124;83331;00070.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00125;91929;00008.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00126;55292;00002.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00127;55292;00017.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00128;87196;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00129;87203;00008.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00130;55294;00017.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00131;83318;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00132;83322;00014.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00133;55290;00029.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00134;83314;00018.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00135;66455;00024.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00136;87578;00020.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00137;55291;00030.000;Pck 10St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00138;91026;00228.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00139;87426;00003.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00140;71886;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00141;71886;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00142;80738;00048.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00143;80738;00012.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00144;80759;00005.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00145;13165;00003.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00146;13165;00003.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00147;13087;00003.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00148;13088;00005.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00149;36500;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00150;36500;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00151;36504;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00152;36504;00010.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00153;36502;00024.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00154;36506;00024.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00155;10496;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00156;10548;00010.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00157;14174;00032.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00158;14174;00056.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00159;14218;00016.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00160;5858;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00161;20432;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00162;10528;00010.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
