00194;39666;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00195;15444;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00196;770;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00197;15450;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00198;506641;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00199;37498;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00200;15446;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00201;15447;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00202;15453;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00203;18047;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00204;8666;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00206;36977;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00207;8666;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00208;36830;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00209;39321;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00210;37436;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00211;39665;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00212;6079;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00213;26523;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00214;37676;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00215;797;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00216;506630;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00217;37814;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00218;770;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00219;15451;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00221;30001;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00222;34950;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00223;508519;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00224;35184;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00225;36740;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00226;9033;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00227;15457;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00228;37609;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00229;37714;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00230;14554;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00231;37778;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00232;37731;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00233;37779;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00234;15450;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00235;18047;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00236;15457;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00237;36673;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00238;38783;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00239;30001;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00240;37778;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00241;37718;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00242;9210;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00243;770;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00244;39071;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00245;15453;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00246;508519;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00247;37872;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00248;37871;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00249;37779;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00250;15450;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00251;9725;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00252;38714;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00253;36954;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00254;36609;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00255;38646;00005.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00256;39646;00005.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00257;38646;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00258;38590;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00259;38715;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00260;38714;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00261;39646;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00262;38288;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00263;10531;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00264;5224;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00265;5365;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00266;38286;00004.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00267;35184;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00268;5365;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00269;7397;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00270;37460;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00271;37674;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00272;37460;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00273;39585;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00274;29986;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00275;39586;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00276;37014;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00277;39451;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00278;38539;00004.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00279;38073;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00280;38927;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00281;39650;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00282;36979;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00283;37364;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
